Contract_Term,State,Company,Industry,Load,Peak_Rate,Off_Peak_Rate
48,QLD,Company 1,PROPERTY AND BUSINESS SERVICES,750,9.19,6.58
48,QLD,Company 1,PROPERTY AND BUSINESS SERVICES,424,9.19,6.58
48,QLD,Company 1,PROPERTY AND BUSINESS SERVICES,286,9.19,6.58
48,QLD,Company 1,PROPERTY AND BUSINESS SERVICES,404,9.19,6.58
48,QLD,Company 1,PROPERTY AND BUSINESS SERVICES,424,9.19,6.58
48,QLD,Company 1,PROPERTY AND BUSINESS SERVICES,275,9.19,6.58
48,QLD,Company 1,PROPERTY AND BUSINESS SERVICES,177,9.19,6.58
48,QLD,Company 1,PROPERTY AND BUSINESS SERVICES,578,9.19,6.58
54,VIC,Company 2,MANUFACTURING,227,12.22,8.01
57,NSW,Company 3,PROPERTY AND BUSINESS SERVICES,118,11.89,7.4
12,NSW,Company 4,MANUFACTURING,1347,10.05,6.81
12,VIC,Company 4,MANUFACTURING,233,10.3,7.71
12,VIC,Company 5,WHOLESALE TRADE,367,10.53,7.52
36,NSW,Company 6,PROPERTY AND BUSINESS SERVICES,183,12.63,8.75
48,NSW,Company 7,MANUFACTURING,140,10.95,7.26
57,QLD,Company 7,MANUFACTURING,274,8.38,6.02
36,VIC,Company 8,TRANSPORT AND STORAGE,488,8.97,5.48
24,NSW,Company 9,PROPERTY AND BUSINESS SERVICES,655,11.63,7.74
12,VIC,Company 9,PROPERTY AND BUSINESS SERVICES,199,10.93,7.63
12,VIC,Company 9,PROPERTY AND BUSINESS SERVICES,557,10.93,7.63
6,NSW,Company 10,PROPERTY AND BUSINESS SERVICES,100,14.67,9.91
6,NSW,Company 10,PROPERTY AND BUSINESS SERVICES,100,14.67,9.91
53,VIC,Company 11,RETAIL TRADE,454,11.93,7.93
12,QLD,Company 12,MANUFACTURING,237,6.92,5.49
12,QLD,Company 12,MANUFACTURING,3195,6.92,5.49
12,QLD,Company 12,MANUFACTURING,352,6.92,5.49
12,QLD,Company 12,MANUFACTURING,405,6.92,5.49
12,QLD,Company 12,MANUFACTURING,313,6.92,5.49
12,QLD,Company 12,MANUFACTURING,200,6.92,5.49
12,QLD,Company 12,MANUFACTURING,399,6.92,5.49
12,SA,Company 12,MANUFACTURING,316,10.99,7.6
24,QLD,Company 13,PROPERTY AND BUSINESS SERVICES,489,9.84,6.94
36,NSW,Company 14,CULTURAL AND RECREATIONAL SERVICES,261,9.5,6.24
36,VIC,Company 15,WHOLESALE TRADE,682,11.68,8.28
12,NSW,Company 16,CULTURAL AND RECREATIONAL SERVICES,188,8.96,6.82
24,QLD,Company 17,FINANCE AND INSURANCE,355,10.73,7.86
48,VIC,Company 18,MANUFACTURING,220,5.01,2.91
48,VIC,Company 18,MANUFACTURING,219,5.01,2.91
48,SA,Company 19,RETAIL TRADE,305,14.88,9.03
12,NSW,Company 20,CULTURAL AND RECREATIONAL SERVICES,239,10.25,7.02
54,QLD,Company 21,PROPERTY AND BUSINESS SERVICES,134,9.82,6.97
