,GridCurrent,GridVoltage,GridVoltageVariation,Impedance,NeutralCurrent,PowerFactor,TimeStamp
0,-5.4,246.1,-1.1,0.0,5.3,0.99,2019-10-04 10:00:21
1,-5.4,245.8,0.8,0.0,5.3,0.99,2019-10-04 10:01:21
2,-5.5,245.5,1.1,0.0,5.4,-0.99,2019-10-04 10:02:22
3,-4.9,245.9,-1.4,0.0,4.8,-0.99,2019-10-04 10:03:21
4,-5.0,245.9,-1.4,0.0,4.9,-0.99,2019-10-04 10:04:21
5,-5.0,246.0,-1.5,0.0,4.9,-0.99,2019-10-04 10:05:21
6,-5.0,246.3,0.5,0.0,4.9,-0.99,2019-10-04 10:06:21
7,-5.0,246.3,-1.8,0.0,4.9,-0.99,2019-10-04 10:07:22
8,-5.0,246.6,-1.6,0.0,4.9,-0.99,2019-10-04 10:08:21
9,-5.0,246.0,1.0,0.0,4.9,-0.99,2019-10-04 10:09:22
10,-5.0,245.7,1.3,0.0,4.9,-0.99,2019-10-04 10:10:22
11,-5.0,245.2,1.1,0.0,4.9,-0.99,2019-10-04 10:11:21
12,-5.0,245.7,-1.2,0.0,4.9,-0.99,2019-10-04 10:12:21
13,-5.0,246.3,-1.8,0.0,4.9,-0.99,2019-10-04 10:13:22
14,-5.0,246.2,-2.0,0.0,4.9,-0.99,2019-10-04 10:14:22
15,-5.0,245.9,-1.6,0.0,5.0,-0.99,2019-10-04 10:15:21
16,-5.0,245.7,1.1,0.0,4.9,-0.99,2019-10-04 10:16:21
17,-5.1,243.6,3.1,0.0,5.0,-0.99,2019-10-04 10:17:21
18,-5.0,245.4,-1.7,0.0,5.0,-0.99,2019-10-04 10:18:21
19,-5.0,245.2,1.8,0.0,5.0,-0.99,2019-10-04 10:19:21
20,-5.1,244.6,1.0,0.0,5.0,-0.99,2019-10-04 10:20:21
21,-5.1,244.2,2.2,0.0,5.0,-0.99,2019-10-04 10:21:21
22,-5.0,246.6,-3.0,0.0,4.9,-0.99,2019-10-04 10:22:22
23,-5.1,244.9,1.8,0.0,5.0,-0.99,2019-10-04 10:23:22
24,-5.1,245.5,1.0,0.0,5.0,-0.99,2019-10-04 10:24:21
25,-5.1,245.1,2.0,0.0,5.0,-0.99,2019-10-04 10:25:22
26,-5.1,245.0,1.8,0.0,5.1,-0.99,2019-10-04 10:26:21
27,-5.1,245.1,1.0,0.0,5.1,-0.99,2019-10-04 10:27:22
28,-5.1,245.4,0.7,0.0,5.1,-0.99,2019-10-04 10:28:22
29,-5.1,245.3,1.0,0.0,5.0,-0.99,2019-10-04 10:29:21
30,-5.1,246.2,-2.0,0.0,5.0,-0.99,2019-10-04 10:30:22
31,-5.6,246.1,-1.6,0.0,5.5,-0.99,2019-10-04 10:31:21
32,-5.6,244.8,1.6,0.0,5.5,0.99,2019-10-04 10:32:21
33,-5.6,246.2,-1.5,0.0,5.5,-0.99,2019-10-04 10:33:22
34,-5.6,245.9,-1.4,0.0,5.5,0.99,2019-10-04 10:34:21
35,3.5,243.6,2.8,0.0,3.5,0.99,2019-10-04 10:35:22
36,3.7,243.8,1.0,0.0,3.7,0.99,2019-10-04 10:36:22
37,-5.6,245.8,-2.6,0.0,5.5,0.99,2019-10-04 10:37:22
38,-5.5,244.9,1.5,0.0,5.5,-0.99,2019-10-04 10:38:22
39,-5.6,245.2,1.1,0.0,5.6,0.99,2019-10-04 10:39:22
40,-5.6,245.7,1.0,0.0,5.5,-0.99,2019-10-04 10:40:21
41,-5.6,246.3,-1.6,0.0,5.5,0.99,2019-10-04 10:41:21
42,-5.6,247.1,1.0,0.0,5.5,-0.99,2019-10-04 10:42:21
43,-5.3,246.6,1.0,0.0,5.2,-0.67,2019-10-04 10:43:23
44,-5.6,246.6,-2.1,0.0,5.5,-0.99,2019-10-04 10:44:21
45,-5.5,246.2,1.5,0.0,5.4,-0.99,2019-10-04 10:45:21
46,-5.6,246.2,1.2,0.0,5.5,-0.99,2019-10-04 10:46:21
47,-5.6,247.0,-1.1,0.0,5.5,-0.99,2019-10-04 10:47:22
48,-5.6,246.4,1.0,0.0,5.5,0.99,2019-10-04 10:48:21
