,"strftime('%H', TimeStamp)","AVG(""GridCurrent"")"
0,00,0.8438814016172614
1,01,0.835030103995632
2,02,0.8193304535637247
3,03,0.8162295081967305
4,04,0.8099191374663167
5,05,0.8918992884510261
6,06,4.248734518039829
7,07,9.19130672498634
8,08,5.335922330097107
9,09,2.401950947603092
10,10,1.8725511302475584
11,11,1.3733734281027863
12,12,1.475806451612896
13,13,1.6521358159912165
14,14,1.2542162162162178
15,15,1.7362691466082965
16,16,2.29198493813876
17,17,3.3575724439584245
18,18,4.7829124126813705
19,19,6.16232914160746
20,20,4.317956989247329
21,21,3.1538076709283014
22,22,2.036109618484681
23,23,1.179846238330598
