GridCurrent,GridVoltage,GridVoltageVariation,Impedance,NeutralCurrent,PowerFactor,TimeStamp
-4.9,246.5,-1.3,0.0,4.8,-0.99,2019-09-08 10:00:16
-4.9,245.9,1.1,0.0,4.8,-0.99,2019-09-08 10:01:15
-4.9,244.3,3.0,0.0,4.9,-0.99,2019-09-08 10:02:16
-5.0,244.7,-1.0,0.0,5.0,-0.99,2019-09-08 10:03:16
-5.0,244.5,-1.0,0.0,5.0,-0.99,2019-09-08 10:04:15
-5.0,243.1,2.1,0.0,5.0,-0.99,2019-09-08 10:05:15
-5.0,243.6,-1.3,0.0,5.0,-0.99,2019-09-08 10:06:16
-5.0,244.3,1.1,0.0,5.1,-0.99,2019-09-08 10:07:15
-5.0,244.8,1.3,0.0,5.0,-0.99,2019-09-08 10:08:15
-5.0,244.4,1.8,0.0,5.1,-0.99,2019-09-08 10:09:16
-5.5,244.2,1.0,0.0,5.5,-0.99,2019-09-08 10:10:16
-5.5,244.2,1.5,0.0,5.5,-0.99,2019-09-08 10:11:16
-5.5,245.1,0.8,0.0,5.5,-0.99,2019-09-08 10:12:16
-5.5,244.1,1.3,0.0,5.5,-0.99,2019-09-08 10:13:16
-5.5,245.5,-2.0,0.0,5.4,-0.99,2019-09-08 10:14:16
-5.5,245.5,-1.8,0.0,5.5,-0.99,2019-09-08 10:15:15
-5.5,244.5,1.5,0.0,5.5,-0.99,2019-09-08 10:16:16
-5.5,243.0,2.6,0.0,5.5,-0.99,2019-09-08 10:17:15
-5.5,243.7,1.1,0.0,5.5,-0.99,2019-09-08 10:18:16
-5.5,245.0,-1.6,0.0,5.5,-0.99,2019-09-08 10:19:15
-5.5,245.6,-1.6,0.0,5.4,-0.99,2019-09-08 10:20:16
-5.5,244.8,1.3,0.0,5.5,-0.99,2019-09-08 10:21:16
-5.5,245.4,-1.2,0.0,5.5,-0.99,2019-09-08 10:22:16
-5.5,245.7,-1.3,0.0,5.5,-0.99,2019-09-08 10:23:16
-5.5,244.3,1.5,0.0,5.6,-0.99,2019-09-08 10:24:16
-5.5,244.4,0.5,0.0,5.5,-0.99,2019-09-08 10:25:16
-5.5,244.6,1.0,0.0,5.4,-0.99,2019-09-08 10:26:16
-6.0,245.6,-1.5,0.0,6.0,0.99,2019-09-08 10:27:15
-6.1,244.4,1.3,0.0,6.0,0.99,2019-09-08 10:28:16
-6.0,245.1,1.0,0.0,6.1,0.99,2019-09-08 10:29:16
-6.1,244.1,1.6,0.0,6.1,0.99,2019-09-08 10:30:15
-6.1,243.5,1.1,0.0,6.1,0.99,2019-09-08 10:31:16
-5.6,244.4,-1.5,0.0,5.6,-0.99,2019-09-08 10:32:15
-5.6,244.7,-1.1,0.0,5.6,0.99,2019-09-08 10:33:15
-5.6,245.5,-1.8,0.0,5.6,-0.99,2019-09-08 10:34:15
-5.7,244.7,1.1,0.0,5.6,-0.99,2019-09-08 10:35:16
-5.7,243.6,1.5,0.0,5.7,-0.99,2019-09-08 10:36:16
-5.7,243.1,2.0,0.0,5.7,-0.99,2019-09-08 10:37:16
-5.7,243.6,1.0,0.0,5.6,-0.99,2019-09-08 10:38:16
-5.7,242.9,2.0,0.0,5.7,-0.99,2019-09-08 10:39:15
-5.7,243.2,-1.3,0.0,5.6,-0.99,2019-09-08 10:40:16
-5.7,242.6,1.3,0.0,5.7,-0.99,2019-09-08 10:41:15
-6.2,243.5,1.0,0.0,6.2,0.99,2019-09-08 10:42:16
-6.2,242.9,0.8,0.0,6.2,0.99,2019-09-08 10:43:16
-6.2,242.7,1.9,0.0,6.1,0.99,2019-09-08 10:44:16
-6.2,242.2,1.8,0.0,6.1,0.99,2019-09-08 10:45:16
-6.2,242.4,1.0,0.0,6.1,0.99,2019-09-08 10:46:16
-6.2,242.1,1.3,0.0,6.2,0.99,2019-09-08 10:47:16
-5.6,244.0,-1.8,0.0,5.5,-0.99,2019-09-08 10:48:16
-5.7,245.6,-1.3,0.0,5.6,-0.99,2019-09-08 10:51:16
-5.7,244.0,1.1,0.0,5.6,-0.99,2019-09-08 10:52:16
-5.7,244.3,-1.1,0.0,5.7,-0.99,2019-09-08 10:53:16
-5.7,244.9,-1.3,0.0,5.6,-0.99,2019-09-08 10:54:16
-5.7,244.7,0.7000000000000001,0.0,5.6,-0.99,2019-09-08 10:55:16
-5.7,245.5,-1.0,0.0,5.6,-0.99,2019-09-08 10:56:16
-5.7,244.0,2.3,0.0,5.7,-0.99,2019-09-08 10:57:16
-5.8,243.6,2.1,0.0,5.7,-0.99,2019-09-08 10:58:16
-5.8,244.0,1.1,0.0,5.8,-0.99,2019-09-08 10:59:16
-5.8,243.5,1.1,0.0,5.8,-0.99,2019-09-08 11:00:17
-5.8,244.4,1.0,0.0,5.7,-0.99,2019-09-08 11:01:16
-5.8,243.5,2.0,0.0,5.7,-0.99,2019-09-08 11:02:16
-5.7,244.9,-1.7000000000000002,0.0,5.7,-0.99,2019-09-08 11:03:16
-5.3,244.6,1.1,0.0,5.3,-0.99,2019-09-08 11:04:15
-5.4,244.1,0.8,0.0,5.4,-0.99,2019-09-08 11:05:15
