GridCurrent,GridVoltage,GridVoltageVariation,Impedance,NeutralCurrent,PowerFactor,TimeStamp
-8.6,249.3,1.0,0,0,-0.97,2019-09-18 10:00:34
-8.7,249.8,-1.0,0,0,-0.97,2019-09-18 10:01:34
-8.6,249.3,-1.0,0,0,-0.97,2019-09-18 10:02:34
-8.7,249.5,0.5,0,0,-0.97,2019-09-18 10:03:34
-8.7,249.4,0.5,0,0,-0.98,2019-09-18 10:04:33
-8.7,249.9,-1.6,0,0,-0.98,2019-09-18 10:05:35
-8.6,249.8,0.6000000000000001,0,0,-0.98,2019-09-18 10:06:33
-8.7,249.7,-1.1,0,0,-0.98,2019-09-18 10:07:33
-8.6,249.4,1.0,0,0,-0.98,2019-09-18 10:08:34
-8.6,250.4,-1.7000000000000002,0,0,-0.97,2019-09-18 10:09:34
-8.6,250.5,0.1,0,0,-0.98,2019-09-18 10:10:34
-8.6,249.7,0.7000000000000001,0,0,-0.98,2019-09-18 10:11:33
-8.7,249.5,0.9,0,0,-0.98,2019-09-18 10:12:34
-8.7,249.9,1.0,0,0,-0.98,2019-09-18 10:13:34
-8.8,249.3,0.8,0,0,-0.98,2019-09-18 10:14:33
-8.7,248.9,0.8,0,0,-0.98,2019-09-18 10:15:33
-8.7,249.9,0.6000000000000001,0,0,-0.98,2019-09-18 10:16:34
-8.8,250.7,0.6000000000000001,0,0,-0.98,2019-09-18 10:17:34
-8.7,250.8,-1.5,0,0,-0.98,2019-09-18 10:18:33
-8.7,250.5,-1.0,0,0,-0.98,2019-09-18 10:19:35
-8.8,250.5,0.6000000000000001,0,0,-0.98,2019-09-18 10:20:33
-8.7,250.4,0.7000000000000001,0,0,-0.98,2019-09-18 10:21:34
-8.9,249.4,1.2,0,0,-0.98,2019-09-18 10:22:34
-8.9,250.2,-1.0,0,0,-0.98,2019-09-18 10:23:34
-8.9,249.8,1.1,0,0,-0.98,2019-09-18 10:24:34
-8.9,249.3,1.1,0,0,-0.98,2019-09-18 10:25:34
-8.9,249.4,0.8,0,0,-0.98,2019-09-18 10:26:34
-8.8,250.4,-1.0,0,0,-0.98,2019-09-18 10:27:34
-8.9,248.7,1.5,0,0,-0.98,2019-09-18 10:28:34
-8.9,249.3,0.6000000000000001,0,0,-0.98,2019-09-18 10:29:34
-8.9,249.1,0.5,0,0,-0.98,2019-09-18 10:30:34
-8.9,249.4,0.2,0,0,-0.98,2019-09-18 10:31:33
-8.9,248.9,0.7000000000000001,0,0,-0.98,2019-09-18 10:32:33
-8.9,249.8,-1.1,0,0,-0.98,2019-09-18 10:33:33
-8.9,249.7,0.30000000000000004,0,0,-0.98,2019-09-18 10:34:33
-8.9,249.9,0.2,0,0,-0.98,2019-09-18 10:35:34
-8.9,249.7,0.6000000000000001,0,0,-0.98,2019-09-18 10:36:34
-8.8,249.6,-1.3,0,0,-0.98,2019-09-18 10:37:33
-8.9,249.8,0.1,0,0,-0.98,2019-09-18 10:40:33
-8.9,249.5,0.30000000000000004,0,0,-0.98,2019-09-18 10:41:34
-8.9,249.9,-1.7000000000000002,0,0,-0.98,2019-09-18 10:42:34
