,GridCurrent,GridVoltage,GridVoltageVariation,Impedance,NeutralCurrent,PowerFactor,TimeStamp
0,-4.4,244.2,1.2,0.0,0.0,-0.94,2019-04-15 10:40:42
1,-3.7,243.5,1.6,0.0,0.0,-0.92,2019-04-15 10:41:41
2,-3.1,244.5,-1.0,0.0,0.0,-0.89,2019-04-15 10:42:42
3,-2.5,244.3,0.6,0.0,0.0,-0.82,2019-04-15 10:43:43
4,-2.5,243.6,1.3,0.0,0.0,-0.82,2019-04-15 10:44:42
5,-2.6,244.5,-1.5,0.0,0.0,-0.84,2019-04-15 10:45:42
6,-3.8,244.7,-1.3,0.0,0.0,-0.92,2019-04-15 10:46:41
7,-2.9,244.0,1.0,0.0,0.0,-0.87,2019-04-15 10:47:42
8,-3.1,244.8,-1.0,0.0,0.0,-0.88,2019-04-15 10:48:41
9,-3.9,244.6,0.5,0.0,0.0,-0.92,2019-04-15 10:49:42
10,-6.2,244.6,1.0,0.0,0.0,-0.97,2019-04-15 10:50:41
11,-3.8,244.3,1.8,0.0,0.0,-0.92,2019-04-15 10:51:41
12,-3.5,244.4,-1.2,0.0,0.0,-0.91,2019-04-15 10:52:41
13,-5.7,245.0,-1.5,0.0,0.0,-0.96,2019-04-15 10:53:42
14,-5.3,245.7,1.1,0.0,0.0,-0.96,2019-04-15 10:54:42
15,-6.6,245.7,1.4,0.0,0.0,-0.97,2019-04-15 10:55:42
16,-9.5,245.6,-1.3,0.0,0.0,-0.98,2019-04-15 10:56:41
17,-8.5,246.3,-1.6,0.0,0.0,-0.98,2019-04-15 10:57:42
18,-7.7,246.0,1.5,0.0,0.0,-0.98,2019-04-15 10:58:42
19,-4.7,245.7,1.6,0.0,0.0,-0.95,2019-04-15 10:59:42
20,-5.3,245.6,-1.6,0.0,0.0,-0.96,2019-04-15 11:00:42
21,-9.2,246.6,-1.9,0.0,0.0,-0.98,2019-04-15 11:01:41
22,-9.9,247.3,1.0,0.0,0.0,-0.98,2019-04-15 11:02:41
23,-10.2,247.4,0.7,0.0,0.0,-0.98,2019-04-15 11:03:43
24,-10.5,247.7,-1.1,0.0,0.0,-0.98,2019-04-15 11:04:42
25,-10.6,247.4,-2.4,0.0,0.0,-0.99,2019-04-15 11:05:42
26,-10.4,247.7,0.8,0.0,0.0,-0.98,2019-04-15 11:06:41
27,-10.7,247.9,0.2,0.0,0.0,-0.99,2019-04-15 11:07:42
28,-10.9,247.2,1.3,0.1,0.0,-0.99,2019-04-15 11:08:42
29,-11.0,246.8,0.8,0.0,0.0,-0.99,2019-04-15 11:09:42
30,-9.6,246.6,1.5,0.0,0.0,-0.98,2019-04-15 11:10:41
31,-3.3,244.4,1.8,0.0,0.0,-0.89,2019-04-15 11:11:42
32,-4.0,245.9,-1.7,0.0,0.0,-0.93,2019-04-15 11:12:42
33,-3.1,244.8,1.1,0.0,0.0,-0.88,2019-04-15 11:13:41
34,-3.1,244.8,1.0,0.0,0.0,-0.88,2019-04-15 11:14:42
35,-8.2,245.7,1.0,0.0,0.0,-0.98,2019-04-15 11:15:42
36,-11.3,247.2,-1.6,0.0,0.0,-0.99,2019-04-15 11:16:42
37,-11.2,247.5,-1.5,0.0,0.0,-0.99,2019-04-15 11:17:42
38,-11.1,247.2,1.0,0.0,0.0,-0.99,2019-04-15 11:18:41
39,-11.1,247.1,1.0,0.0,0.0,-0.99,2019-04-15 11:19:43
40,-8.1,246.1,2.3,0.0,0.0,-0.98,2019-04-15 11:20:42
41,-4.3,244.3,2.6,0.0,0.0,-0.94,2019-04-15 11:21:42
42,-3.5,244.0,1.1,0.0,0.0,-0.91,2019-04-15 11:22:42
43,-3.6,242.7,1.8,0.0,0.0,-0.91,2019-04-15 11:23:42
44,-4.0,243.0,0.8,0.0,0.0,-0.93,2019-04-15 11:24:41
45,-4.2,243.8,0.5,0.0,0.0,-0.94,2019-04-15 11:25:42
46,-4.4,243.6,-1.3,0.0,0.0,-0.94,2019-04-15 11:26:43
47,-11.5,247.2,-4.2,0.0,0.0,-0.99,2019-04-15 11:27:42
48,-4.0,244.2,3.7,0.0,0.0,-0.93,2019-04-15 11:28:42
49,-4.2,243.7,0.9,0.0,0.0,-0.94,2019-04-15 11:29:42
50,-4.8,245.4,-2.7,0.5,0.0,-0.95,2019-04-15 11:30:41
51,-4.0,243.5,2.1,0.5,0.0,-0.93,2019-04-15 11:31:41
52,-4.0,243.9,-1.4,0.5,0.0,-0.93,2019-04-15 11:32:42
53,-3.9,243.5,0.6,0.5,0.0,-0.93,2019-04-15 11:33:42
54,-3.8,243.9,0.1,0.5,0.0,-0.92,2019-04-15 11:34:42
55,-3.7,243.3,0.8,0.5,0.0,-0.92,2019-04-15 11:35:42
56,-3.9,245.3,-3.3,0.5,0.0,-0.92,2019-04-15 11:36:42
57,-5.3,245.8,-1.3,0.5,0.0,-0.96,2019-04-15 11:37:42
58,-5.2,245.3,1.3,0.5,0.0,-0.96,2019-04-15 11:38:41
59,-8.4,245.9,-1.1,0.2,0.0,-0.98,2019-04-15 11:39:41
60,-10.2,246.4,-1.0,0.2,0.0,-0.98,2019-04-15 11:40:41
61,-9.4,246.9,0.5,0.2,0.0,-0.98,2019-04-15 11:41:41
62,-10.5,247.0,-1.5,0.2,0.0,-0.99,2019-04-15 11:42:41
63,-9.1,245.7,1.5,0.2,0.0,-0.98,2019-04-15 11:43:41
64,-6.3,245.5,1.6,0.2,0.0,-0.97,2019-04-15 11:44:42
65,-5.3,244.4,1.7,0.2,0.0,-0.96,2019-04-15 11:45:41
66,-5.4,244.8,1.6,0.2,0.0,-0.96,2019-04-15 11:46:42
67,-5.8,244.3,0.8,0.2,0.0,-0.97,2019-04-15 11:47:42
68,-5.2,244.7,-1.0,0.2,0.0,-0.96,2019-04-15 11:48:42
69,-4.8,244.0,0.9,0.2,0.0,-0.95,2019-04-15 11:49:42
70,-3.2,243.0,1.8,0.2,0.0,-0.89,2019-04-15 11:50:42
71,-3.2,243.1,-1.1,0.2,0.0,-0.89,2019-04-15 11:51:41
72,-4.0,243.8,-1.8,0.2,0.0,-0.93,2019-04-15 11:52:42
73,-8.4,246.1,-3.1,0.2,0.0,-0.98,2019-04-15 11:53:43
74,-4.0,243.7,2.8,0.0,0.0,-0.93,2019-04-15 11:54:42
75,-4.0,243.5,1.1,0.3,0.0,-0.93,2019-04-15 11:55:42
76,-3.5,243.8,0.1,0.3,0.0,-0.91,2019-04-15 11:56:41
77,-5.1,243.5,-1.5,0.3,0.0,-0.96,2019-04-15 11:57:42
78,-3.1,242.5,1.0,0.3,0.0,-0.88,2019-04-15 11:58:42
79,-3.0,243.1,0.6,0.3,0.0,-0.87,2019-04-15 11:59:42
80,-2.9,243.4,0.1,0.3,0.0,-0.86,2019-04-15 12:00:42
81,-2.7,242.7,0.6,0.3,0.0,-0.85,2019-04-15 12:01:43
82,-2.5,242.4,1.1,0.3,0.0,-0.83,2019-04-15 12:02:42
83,-2.5,242.4,0.7,0.3,0.0,-0.81,2019-04-15 12:03:42
